iter	Passed	Remaining
408	4909	1092
409	4921	1080
410	4931	1067
411	4943	1055
412	4953	1043
413	4964	1031
414	4975	1019
415	4985	1006
416	4996	994
417	5006	982
418	5020	970
419	5033	958
420	5046	946
421	5075	938
422	5103	929
423	5117	917
424	5138	906
425	5148	894
426	5161	882
427	5171	870
428	5182	857
429	5193	845
430	5203	833
431	5215	821
432	5225	808
433	5236	796
434	5247	784
435	5257	771
436	5267	759
437	5277	747
438	5288	734
439	5299	722
440	5309	710
441	5320	698
442	5332	686
443	5342	673
444	5354	661
445	5365	649
446	5376	637
447	5388	625
448	5398	613
449	5409	601
450	5422	589
451	5437	577
452	5452	565
453	5467	553
454	5479	541
455	5491	529
456	5501	517
457	5513	505
458	5526	493
459	5536	481
460	5547	469
461	5559	457
462	5569	445
463	5580	432
464	5590	420
465	5602	408
466	5614	396
467	5628	384
468	5642	372
469	5654	360
470	5667	348
471	5680	336
472	5693	325
473	5706	312
474	5717	300
475	5728	288
476	5738	276
477	5749	264
478	5759	252
479	5770	240
480	5780	228
481	5791	216
482	5805	204
483	5818	192
484	5828	180
485	5838	168
486	5849	156
487	5860	144
488	5872	132
489	5885	120
490	5899	108
491	5910	96
492	5922	84
493	5933	72
494	5943	60
495	5955	48
496	5966	36
497	5977	24
498	5989	12
499	6000	0
