iter	MultiClass
187	0.883741545
188	0.8835919537
189	0.8833927874
190	0.8832532015
191	0.8831631966
192	0.8830258132
193	0.8828295645
194	0.8825970319
195	0.8823580586
196	0.8822510097
197	0.8820976401
198	0.8818659235
199	0.8817060668
200	0.8814261512
201	0.8810312096
202	0.8808040388
203	0.8805585195
204	0.8802836809
205	0.8801155299
206	0.8799088607
207	0.8796784311
208	0.8795105494
209	0.8793942891
210	0.8791695805
211	0.8790391096
212	0.8788165266
213	0.8785887216
214	0.8783501398
215	0.878083461
216	0.877858439
217	0.877654642
218	0.8774228285
219	0.8771794047
220	0.8770746507
221	0.8768784989
222	0.8766591493
223	0.8765439215
224	0.8763010453
225	0.8760222446
226	0.8758323357
227	0.8755631768
228	0.8753751385
229	0.8752251949
230	0.8750452603
231	0.874787897
232	0.8746310557
233	0.8744843919
234	0.8741623044
235	0.8739118616
236	0.8737229474
237	0.8734982708
238	0.873321917
239	0.8731135438
240	0.8729387005
241	0.8727516099
242	0.8725723365
243	0.8724010175
244	0.8722230544
245	0.8720955324
246	0.8719585287
247	0.8717506348
248	0.8714567449
249	0.871255967
250	0.8710522053
251	0.8709192088
252	0.8707922276
253	0.8705831294
254	0.8703938885
255	0.8702402031
256	0.8699991757
257	0.8696103013
258	0.8693355067
259	0.8690898565
260	0.8688868609
261	0.8686923994
262	0.8685389512
263	0.868429082
264	0.8682413386
265	0.8680987291
266	0.8679014211
267	0.8677271381
268	0.8674587584
269	0.8672409844
270	0.8670209475
271	0.8668284019
272	0.8665934361
273	0.8663704801
274	0.8662005746
275	0.8659108768
276	0.8657110914
277	0.8655392477
278	0.8654115484
279	0.8652189192
280	0.8650040468
281	0.8647708367
282	0.8645699614
283	0.8643890246
284	0.864280139
285	0.8640046974
286	0.863892637
287	0.8636172638
288	0.8634491391
289	0.8632109323
290	0.8630176257
291	0.8628333832
292	0.8626517517
293	0.8624606665
294	0.8622010985
295	0.8620816136
296	0.8619903096
297	0.8617848946
298	0.8616014965
299	0.8613826399
300	0.8611919546
301	0.8610087028
302	0.8606997567
303	0.8605143164
304	0.8603613437
305	0.8601083093
306	0.8598721277
307	0.8596580642
308	0.8595132038
309	0.8593009722
310	0.8591590046
311	0.8589592855
312	0.8587972634
313	0.8585462966
314	0.8583847338
315	0.8581796216
316	0.8580524312
317	0.8577713486
318	0.8576089226
319	0.8574175745
320	0.8572183316
321	0.8570955379
322	0.8568773651
323	0.8566781738
324	0.8564913254
325	0.8562594595
326	0.8560551373
327	0.8557508667
328	0.8556069038
329	0.8554819366
330	0.8552186459
331	0.8550208544
332	0.8548541366
333	0.8546885673
334	0.854496871
335	0.8543483227
336	0.8541802884
337	0.853945283
338	0.8537552354
339	0.8535896502
340	0.8534559638
341	0.8532005798
342	0.8530928799
343	0.8529749228
344	0.852775949
345	0.8525476085
346	0.8523165935
347	0.8521292705
348	0.8518841421
349	0.8517378364
350	0.8514442844
351	0.8511562928
352	0.8510196114
353	0.8507618851
354	0.8506184483
355	0.8504602477
356	0.8502053833
357	0.8499932449
358	0.8498412784
359	0.8496576586
360	0.8495282
361	0.8493301072
362	0.8491276446
363	0.8489249698
364	0.8487868213
365	0.8485912681
366	0.8483381202
367	0.8480863769
368	0.8479314931
369	0.8478397985
370	0.8476201973
371	0.8474947483
372	0.8473363767
373	0.8470861274
374	0.8468567811
375	0.8467620109
376	0.8465326576
377	0.846438587
378	0.8461580259
379	0.8459892954
380	0.8457719312
381	0.8455686527
382	0.8454843108
383	0.8453305766
384	0.8451728657
385	0.8449558716
386	0.8446790815
387	0.8444643142
388	0.8441884908
389	0.843955778
390	0.8438392993
391	0.843692608
392	0.8435038862
393	0.8433173711
394	0.8432160877
395	0.8431088909
396	0.8428590884
397	0.8426595597
398	0.8424285642
399	0.8421973043
400	0.8419766668
401	0.8417197629
402	0.8415126634
403	0.8413042065
404	0.8410573143
405	0.8408437489
406	0.8407691629
407	0.8405097757
408	0.8402775258
409	0.8401333787
410	0.8399445666
411	0.8398220623
412	0.8396937446
413	0.8394994125
414	0.8393195098
415	0.8390379735
416	0.8388404939
417	0.8386834114
418	0.8384834121
419	0.8383041889
420	0.8381854092
421	0.8380034988
422	0.8379181608
423	0.8377703674
424	0.8375853254
425	0.8374618885
426	0.8373003798
427	0.8371492632
428	0.8370086919
429	0.8368160169
430	0.8367107821
431	0.8364994215
432	0.8363627573
433	0.8362552927
434	0.8360071498
435	0.8357482757
436	0.8355315461
437	0.8353380937
438	0.8352157023
439	0.8349849784
440	0.8348573884
441	0.8346749744
442	0.8345186686
443	0.8343672529
444	0.8342335586
445	0.8340058323
446	0.8337646161
447	0.8335546605
448	0.8333926387
449	0.8332950338
450	0.8331558541
451	0.832965981
452	0.8327545675
453	0.8325945619
454	0.8324598902
455	0.8323866717
456	0.8321589564
457	0.8319158544
458	0.8317196876
459	0.8315143997
460	0.8313978445
461	0.8313086418
462	0.8311023154
463	0.8309260747
464	0.8307723908
465	0.8305698145
466	0.8302801797
467	0.8301757273
468	0.8299745956
469	0.8298329321
470	0.8296441823
471	0.8294524039
472	0.829266972
473	0.829084275
474	0.8289208588
475	0.8287379122
476	0.8285554664
477	0.8284142345
478	0.8282258164
479	0.828045499
480	0.8278767378
481	0.8277688737
482	0.827544367
483	0.8274366616
484	0.8272139669
485	0.8270312449
486	0.8267908809
487	0.8266332282
488	0.8264957655
489	0.8263077706
490	0.8261348912
491	0.8258383442
492	0.8256225287
493	0.8254306042
494	0.8253445253
495	0.8250581422
496	0.8248918798
497	0.8247766643
498	0.8246058802
499	0.824472319
